Date,Open,Close,High,Low
17/05/2023,44.74%,44.75%,44.75%,44.74%
18/05/2023,45.31%,44.74%,45.31%,44.74%
19/05/2023,44.73%,44.23%,44.73%,44.22%
22/05/2023,41.71%,41.61%,41.71%,39.64%
23/05/2023,40.67%,41.13%,41.13%,39.68%
24/05/2023,41.25%,40.50%,41.25%,39.80%
25/05/2023,40.99%,40.85%,40.99%,40.60%
26/05/2023,40.73%,40.24%,40.73%,40.24%
29/05/2023,39.99%,39.99%,39.99%,39.99%
30/05/2023,40.17%,41.16%,41.16%,40.17%
31/05/2023,41.30%,41.10%,41.30%,40.66%
1/6/2023,40.20%,40.25%,40.62%,40.20%
2/6/2023,40.23%,40.25%,40.47%,40.23%
5/6/2023,39.86%,39.94%,39.97%,39.86%
6/6/2023,40.25%,39.92%,40.25%,39.92%
7/6/2023,40.11%,40.83%,40.83%,39.84%
8/6/2023,41.13%,41.20%,41.20%,41.13%
9/6/2023,41.20%,41.33%,41.33%,40.22%
12/6/2023,40.48%,40.38%,40.48%,40.37%
13/06/2023,41.33%,41.19%,41.33%,41.19%
14/06/2023,41.41%,41.55%,41.55%,41.34%
15/06/2023,41.35%,41.22%,41.35%,41.22%
16/06/2023,41.33%,41.08%,41.33%,41.08%
19/06/2023,41.22%,40.93%,41.22%,40.93%
20/06/2023,41.25%,41.03%,41.25%,41.03%
21/06/2023,41.33%,41.28%,41.39%,41.28%
22/06/2023,41.80%,41.20%,41.80%,41.20%
23/06/2023,41.46%,41.75%,41.75%,41.46%
26/06/2023,41.64%,41.98%,41.98%,41.62%
27/06/2023,42.10%,42.16%,42.16%,42.10%
28/06/2023,41.98%,42.25%,42.25%,41.98%
29/06/2023,42.23%,43.43%,43.43%,42.23%
30/06/2023,45.00%,45.38%,45.38%,45.00%
3/7/2023,45.72%,45.69%,45.72%,45.69%
4/7/2023,45.50%,45.50%,45.50%,45.50%
5/7/2023,45.45%,45.50%,45.50%,45.42%
6/7/2023,45.28%,45.54%,45.54%,45.28%
7/7/2023,45.33%,45.50%,45.50%,45.33%
10/7/2023,45.65%,45.44%,45.65%,45.44%
11/7/2023,45.50%,45.50%,45.50%,45.50%
12/7/2023,45.17%,45.47%,45.47%,45.00%
13/07/2023,45.60%,45.35%,45.60%,45.35%
